Date,Time,Sender,Message
2025-12-17,10:30:03,GitHub repos,**apple/ml-sharp** Sharp Monocular View Synthesis in Less Than a Second **Language**: Python **Stars**: 249 **Issues**: 4 **Forks**: 6 [https://github.com/apple/ml-sharp](https://github.com/apple/ml-sharp)
2025-12-17,04:30:02,GitHub repos,**FunAudioLLM/Fun-ASR** Fun-ASR is an end-to-end speech recognition large model launched by Tongyi Lab.  **Language**: Python #audio #audio_language_model #audio_understanding #fun_asr #multimodal_large_language_models #pytorch #speaker_diarization #speech_recognition **Stars**: 264 **Issues**: 4 **Forks**: 8 [https://github.com/FunAudioLLM/Fun-ASR](https://github.com/FunAudioLLM/Fun-ASR)
2025-12-16,22:30:03,GitHub repos,**Turbo1123/roubao** Android Automation Tool Based on Vision-Language Models **Language**: Kotlin #ai #ai_agents #android #android_automation #kotlin #mobile_agents #mobileagent #phone_automation **Stars**: 307 **Issues**: 6 **Forks**: 33 [https://github.com/Turbo1123/roubao](https://github.com/Turbo1123/roubao)
2025-12-16,16:30:02,GitHub repos,"**HKUDS/AnyTool** ""AnyTool: Universal Tool-Use Layer for AI Agents"" **Language**: Python #ai_agents #mcp #tool_orchestration #tool_use **Stars**: 322 **Issues**: 1 **Forks**: 38 [https://github.com/HKUDS/AnyTool](https://github.com/HKUDS/AnyTool)"
2025-12-16,10:30:03,GitHub repos,"**Gentleman-Programming/gentleman-guardian-angel** ðŸ˜‡ Gentleman Guardian Angel (gga) - Provider-agnostic code review using AI. Use Claude, Gemini, Codex, Ollama to enforce your coding standards. **Language**: Shell **Stars**: 284 **Issues**: 0 **Forks**: 22 [https://github.com/Gentleman-Programming/gentleman-guardian-angel](https://github.com/Gentleman-Programming/gentleman-guardian-angel)"
2025-12-16,04:30:02,GitHub repos,**eliasjudin/oai-skills** The contents of /home/oai/skills in ChatGPT's code interpreter environment **Language**: Python **Stars**: 284 **Issues**: 1 **Forks**: 69 [https://github.com/eliasjudin/oai-skills](https://github.com/eliasjudin/oai-skills)
2025-12-15,22:30:03,GitHub repos,**meltylabs/chorus** Chorus - AI chat app for Mac **Language**: TypeScript **Stars**: 329 **Issues**: 1 **Forks**: 41 [https://github.com/meltylabs/chorus](https://github.com/meltylabs/chorus)
2025-12-15,16:30:02,GitHub repos,**eooce/Gla-deploy** **Language**: JavaScript **Stars**: 854 **Issues**: 0 **Forks**: 171 [https://github.com/eooce/Gla-deploy](https://github.com/eooce/Gla-deploy)
2025-12-15,10:30:02,GitHub repos,"**devcarron/casino-games-web3** casino games blockchain, multichain, solana, ethereum, bitcoin, ethereum, binance, tron, erc-20, bep-20, trc-20, A modern crypto-powered gaming platform supporting multi-chain tokens and exciting on-chain games. This platform provides a comprehensive gaming experience with real-time multiplayer gameplay, secure wallet integration. **Language**: JavaScript #bep_20 #binance #bitcoin #blockchain #casino #casino_game #chatroom #crash #erc_20 #ethereum #game #mines #pl"
2025-12-15,04:30:02,GitHub repos,**3lp4tr0n/SessionHop** Windows Session Hijacking via COM **Language**: C# **Stars**: 241 **Issues**: 0 **Forks**: 25 [https://github.com/3lp4tr0n/SessionHop](https://github.com/3lp4tr0n/SessionHop)
2025-12-14,22:30:02,GitHub repos,"**qwwzdyj/AIA-Academic-Illustrator-** An AI agent that automates the creation of CVPR/NeurIPS standard academic diagrams. Implements a strict ""Logic (Architect) -> Vision (Renderer)"" workflow to transform paper abstracts into high-fidelity scientific illustrations. **Language**: JavaScript **Stars**: 258 **Issues**: 1 **Forks**: 25 [https://github.com/qwwzdyj/AIA-Academic-Illustrator-](https://github.com/qwwzdyj/AIA-Academic-Illustrator-)"
2025-12-14,16:30:02,GitHub repos,"**farouqaldori/claude-island** Claude Code notifications without the context switch. A minimal, always-present session manager for macOS. **Language**: Swift **Stars**: 326 **Issues**: 10 **Forks**: 27 [https://github.com/farouqaldori/claude-island](https://github.com/farouqaldori/claude-island)"
